Organization Name,Industries,Food and Restaurant Dummy,High Tech Dummy,Headquarters Regions,Founded Date,Founded Year,Founders,Number of Investors,Patents Granted,Trademarks Registered,Total Funding Amount,Number of Funding Rounds,Closed Dummy,Number of Events,Number of Articles,Diversity Spotlight Dummy,Page Views / Visit,Announced Date,Headquarters Location,Close Date,Organization Name.1,America Dummy,Asia Dummy,Middle East Dummy,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic school entrepreneurial education and training,Post school entrepreneurial education and training,R&D transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,Founders_Cleaned,Repeat_Founder
CryptoNumerics,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Privacy, Software",0,1,Great Lakes,2017,2017,"Ashfaq Munshi, Hassan Bhatti, Jimmy Fan, Monica Holboke, Roberto Cervantes",5,0,0,"CA$3,300,000",3,0,2,4,0,—,0,—,2020,Canada,0,0,0,4.37,5.08,4.97,5.4,3.95,5.13,4.88,6.05,4.22,5.15,6.82,5.92,"['Ashfaq Munshi', 'Hassan Bhatti', 'Jimmy Fan', 'Monica Holboke', 'Roberto Cervantes']",0
MixComm,"Information Technology, Wireless",0,0,"Greater New York Area, East Coast, Northeastern US",2017,2017,"Frank Lane, Harish Krishnaswamy",2,0,0,8600000,3,0,1,14,0,—,0,—,10/14/2021 0:00,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['Frank Lane', 'Harish Krishnaswamy']",0
HealthMode,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Pharmaceutical",0,1,"San Francisco Bay Area, West Coast, Western US",2017,2017,"Bradford Cross, Daniel Karlin",2,0,4,3500000,1,0,0,2,0,—,0,—,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['Bradford Cross', 'Daniel Karlin']",1
Iota Biosciences,"Biotechnology, Life Science, Medical",0,0,"San Francisco Bay Area, West Coast, Western US",2017,2017,"Jose Carmena, Michel Maharbiz",7,29,0,15000001,1,0,0,21,0,1.85,0,1.85,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['Jose Carmena', 'Michel Maharbiz']",0
Look After My Bills,"Energy, Energy Efficiency, Software",0,1,"Europe, Middle East, and Africa (EMEA)",2017,2017,"Henry de Zoete, Will Hodson",3,0,0,120000,3,0,1,13,0,1.04,0,1.04,—,United Kingdom,0,0,0,4.93,4.35,4.57,4.42,3.17,4.48,4.35,5.1,4.47,4.45,6,5.47,"['Henry de Zoete', 'Will Hodson']",0
Biscayne NeuroTherapeutics,"Biotechnology, Health Care, Pharmaceutical, Therapeutics",0,1,"Greater Miami Area, East Coast, Southern US",2017,2017,"Samuel J. Reich, Steven Schachter",2,2,0,3000000,1,0,0,0,0,—,0,—,9/13/2018 0:00,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['Samuel J. Reich', 'Steven Schachter']",0
Crossfin Technology,"Financial Services, FinTech",0,1,"Europe, Middle East, and Africa (EMEA)",2017,2017,"Anton Gaylard, Dean Sparrow",5,0,0,10000000,2,0,0,1,0,1,0,1,—,South Africa,0,0,0,4.47,4.08,3.45,3.37,2.97,4.22,2.9,4.5,5.15,3.18,5.3,4.52,"['Anton Gaylard', 'Dean Sparrow']",0
FansUnite,"Analytics, Artificial Intelligence (AI), Crowdsourcing, Social Media, Sports",0,1,—,2017,2017,"Darius Eghdami, Duncan McIntyre, Nicolas Shuster",2,0,0,14047213,6,0,1,44,0,1,0,1,—,Canada,0,0,0,4.37,5.08,4.97,5.4,3.95,5.13,4.88,6.05,4.22,5.15,6.82,5.92,"['Darius Eghdami', 'Duncan McIntyre', 'Nicolas Shuster']",0
SMSBump,"E-Commerce, Marketing",0,1,"Greater Boston Area, East Coast, New England",2017,2017,Mihail Stoychev,1,0,0,200000,1,0,0,2,0,1.06,0,"Dec 31, 1899",1/29/2020 0:00,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Mihail Stoychev'],0
Right Rice,"Food and Beverage, Herbs and Spices, Organic Food, Retail",1,1,"San Francisco Bay Area, West Coast, Western US",2017,2017,Keith Belling,21,0,1,5500000,4,0,0,1,0,1,0,1,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Keith Belling'],0
Viela Bio,"Biopharma, Biotechnology, Health Diagnostics, Medical, Wellness",0,1,"Washington DC Metro Area, East Coast, Southern US",2017,2017,—,12,27,23,526253240,3,0,0,33,0,1,0,1,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,[],0
Atlas Energy Solutions,"Industrial, Logistics, Oil and Gas",0,0,Southern US,2017,2017,Bud Brigham,1,0,1,979500005,3,0,0,75,0,33.86,0,33.86,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Bud Brigham'],1
Werewolf Therapeutics,"Biotechnology, Life Science, Oncology, Therapeutics",0,0,"Greater Boston Area, East Coast, New England",2017,2017,Dan Hicklin,15,25,3,178172597,3,0,0,69,0,2.52,0,2.52,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Dan Hicklin'],1
GeneDx,"Analytics, Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning, Medical, Predictive Analytics",0,1,"East Coast, New England, Northeastern US",2017,2017,Eric Schadt,17,1,5,941000000,5,0,0,149,0,5.27,0,5.27,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Eric Schadt'],0
Aurora,"Automotive, Autonomous Vehicles, Electric Vehicle, Transportation",0,0,"Great Lakes, Northeastern US",2017,2017,"Chris Urmson, J. Andrew Bagnell, Sterling Anderson",22,974,11,4193000000,9,0,6,526,0,1.85,0,1.85,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['Chris Urmson', 'J. Andrew Bagnell', 'Sterling Anderson']",0
Sky Harbour,"Aerospace, Air Transportation, Logistics",0,1,"Greater New York Area, East Coast, Northeastern US",2017,2017,Tal Keinan,4,0,0,137580000,2,0,0,57,0,3.53,0,3.53,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Tal Keinan'],0
Tarsus Pharmaceuticals,"Biopharma, Biotechnology, Life Science",0,1,"Greater Los Angeles Area, West Coast, Western US",2017,2017,Bobak Azamian,9,12,13,710600000,8,0,0,130,0,2.39,0,2.39,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Bobak Azamian'],0
Beam Therapeutics,"Biotechnology, Genetics, Medical, Therapeutics",0,0,"Greater Boston Area, East Coast, New England",2017,2017,"David R. Liu, Feng Zhang, J. Keith Joung",12,105,6,1189000000,5,0,0,180,0,3.09,0,3.09,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['David R. Liu', 'Feng Zhang', 'J. Keith Joung']",1
Chagee,"Food and Beverage, Tea",1,0,Asia-Pacific (APAC),2017,2017,—,1,0,0,4500000,1,0,0,40,0,18.55,0,18.55,—,China,0,1,0,3.63,4.73,4.32,4.7,3.13,5.08,4.27,4.35,7.1,4.3,7.17,5.38,[],0
BranchOut Food,"Food and Beverage, Manufacturing, Organic Food",1,0,"West Coast, Western US",2017,2017,Eric Healy,1,0,0,1800000,2,0,0,65,0,2.79,0,2.79,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,['Eric Healy'],0
DarGlobal,"Property Development, Property Management, Real Estate",0,0,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",2017,2017,Ziad El Chaar,2,0,0,479203877,3,0,0,28,0,2.09,0,2.09,—,United Arab Emirates,0,0,1,5,6.23,5.93,5.38,5.05,5.53,4.87,5.75,5.52,5.33,7.33,6.77,['Ziad El Chaar'],0
Point Biopharma,"Biopharma, Biotechnology, Health Care, Therapeutics",0,1,"Great Lakes, Midwestern US",2017,2017,"Howard Glase, Joe McCann",11,5,0,310000000,3,0,0,52,0,1.84,0,1.84,—,United States,1,0,0,4.57,5.03,4.17,4.35,3.35,4.77,3.82,4.98,3.73,3.85,6.35,6.72,"['Howard Glase', 'Joe McCann']",0
Verve Therapeutics,"Biotechnology, Genetics, Life Science",0,0,"Greater Boston Area, East Coast, New England",2018,2018,"Anthony Philippakis, Barry Ticho, Burt Adelman, Issi Rozen, J. Keith Joung, Kiran Musunuru, Sekar Kathiresan",17,18,3,419300000,5,0,0,322,0,2.06,0,2.06,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Anthony Philippakis', 'Barry Ticho', 'Burt Adelman', 'Issi Rozen', 'J. Keith Joung', 'Kiran Musunuru', 'Sekar Kathiresan']",1
CinCor Pharma,"Biotechnology, Pharmaceutical, Therapeutics",0,1,"Great Lakes, Midwestern US",2018,2018,"Catherine Pearce, Jon Isaacsohn",14,2,0,418000000,3,0,0,34,1,—,1,—,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Catherine Pearce', 'Jon Isaacsohn']",0
TTTech Auto,"Automotive, Autonomous Vehicles, Software",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018,2018,—,3,35,6,280000000,2,0,0,83,0,3.57,0,3.57,—,Austria,0,0,0,3.22,4.67,4.02,6.23,2.72,5.27,4.52,6.1,4.48,5.77,7.43,3.85,[],0
Anthos Therapeutics,"Biopharma, Biotechnology, Health Care, Therapeutics",0,1,"Greater Boston Area, East Coast, New England",2018,2018,Jonathan Freeman,3,4,11,250000000,1,0,0,78,0,1.39,0,1.39,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,['Jonathan Freeman'],0
Setu,"Financial Services, Software",0,1,Asia-Pacific (APAC),2018,2018,Sahil Kini,5,0,0,18549687,3,0,0,58,0,12.57,0,12.57,—,India,0,1,0,2.83,6.32,4.73,5.73,4.53,5.22,5.25,5.75,6.45,5.23,6.52,5.53,['Sahil Kini'],0
Biotheus,"Biotechnology, Health Care, Life Science, Medical",0,1,Asia-Pacific (APAC),2018,2018,"Andy Tsun, Joanne Sun, Xiaolin Liu",12,32,2,145369273,4,0,0,59,0,1.23,0,1.23,—,China,0,1,0,3.92,4.83,4.6,4.53,3.43,5.23,4.05,4.18,6.73,4.4,7.28,6.03,"['Andy Tsun', 'Joanne Sun', 'Xiaolin Liu']",0
Vulcan Cyber,"Cloud Security, Cyber Security, Network Security, Security",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Roy Horev, Tal Morgenstern, Yaniv Bar-Dayan",6,0,2,69000000,4,0,3,58,0,1.48,0,1.48,—,Israel,0,0,1,5.27,3.72,2.75,4,2.85,4.65,4.42,5.73,4.7,3.72,6.75,6.88,"['Roy Horev', 'Tal Morgenstern', 'Yaniv Bar-Dayan']",0
Perimeter 81,"Cloud Security, Cyber Security, Network Security, SaaS",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Amit Bareket, Aviv Refuah, Sagi Gidali",9,0,0,165000000,6,0,4,79,0,4.06,0,4.06,—,Israel,0,0,1,5.27,3.72,2.75,4,2.85,4.65,4.42,5.73,4.7,3.72,6.75,6.88,"['Amit Bareket', 'Aviv Refuah', 'Sagi Gidali']",0
SupplyPike,"Analytics, Artificial Intelligence (AI), Machine Learning, Retail Technology, Supply Chain Management",0,1,Southern US,2018,2018,"Daniel Sanker, TJ Sangam",3,1,8,25000000,1,0,0,23,0,1.24,0,1.24,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Daniel Sanker', 'TJ Sangam']",0
Celsius Therapeutics,"Biotechnology, Emergency Medicine, Genetics, Health Care, Precision Medicine",0,1,"Greater Boston Area, East Coast, New England",2018,2018,"Aviv Regev, Christoph Lengauer, Jeffrey Bluestone, Ramnik Xavier, Vijay Kuchroo",11,0,0,148000000,2,0,0,20,1,—,1,—,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Aviv Regev', 'Christoph Lengauer', 'Jeffrey Bluestone', 'Ramnik Xavier', 'Vijay Kuchroo']",1
Hello Bello,"Baby, Consumer Goods, E-Commerce, Retail",0,1,"Greater Los Angeles Area, West Coast, Western US",2018,2018,"Dax Shepard, Jay McGraw, Jennifer Pullen, Sean Kane",2,0,0,85000000,2,0,0,21,1,1.71,1,1.71,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Dax Shepard', 'Jay McGraw', 'Jennifer Pullen', 'Sean Kane']",0
Neogene Therapeutics,"Biotechnology, Health Care, Medical, Therapeutics",0,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018,2018,"Carsten Linnemann, Ton Schumacher",9,5,0,125000000,2,0,0,44,0,1,0,1,—,Netherlands,0,0,0,2.1,5.5,5.43,5.72,5.4,6.2,5.25,6.05,5.37,5.8,7.6,6.18,"['Carsten Linnemann', 'Ton Schumacher']",0
Pure Sunfarms,Cannabis,0,0,—,2018,2018,Mandesh Dosanjh,1,0,1,"CA$79,900,000",1,0,0,34,0,4.66,0,4.66,—,Canada,0,0,0,5.32,4.92,4.35,4.92,4.12,4.75,4.77,6.07,4.27,4.55,6.68,5.53,['Mandesh Dosanjh'],0
Autofleet,"Car Sharing, Enterprise Software, Fleet Management, Last Mile Transportation, Ride Sharing",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Avraham Hauben, Dor Shay, Kobi Eisenberg",8,0,0,27500000,3,0,3,14,0,9.06,0,9.06,—,Israel,0,0,1,5.27,3.72,2.75,4,2.85,4.65,4.42,5.73,4.7,3.72,6.75,6.88,"['Avraham Hauben', 'Dor Shay', 'Kobi Eisenberg']",0
Guidehouse,"Advice, Consulting, Management Consulting",0,0,"Washington DC Metro Area, Southern US",2018,2018,Scott McIntyre,1,0,38,750000,1,0,7,259,0,2.1,0,2.1,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,['Scott McIntyre'],0
ProfoundBio,"Biotechnology, Oncology, Therapeutics",0,0,"Greater Seattle Area, West Coast, Western US",2018,2018,"Baiteng Zhao, Tae Han, Xiao Shang",19,1,1,247000000,4,0,0,60,0,—,0,—,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Baiteng Zhao', 'Tae Han', 'Xiao Shang']",0
Kasa,"Financial Services, FinTech, Information Technology, Real Estate",0,1,Asia-Pacific (APAC),2018,2018,"Changwhan Yea, James Jaeyong Lee",14,6,0,"₩35,200,000,000",3,0,0,5,0,1.44,0,1.44,—,South Korea,0,1,0,5,6.15,4.47,5.22,3.45,4.37,4.05,4.32,7.15,3.78,6.63,5.12,"['Changwhan Yea', 'James Jaeyong Lee']",0
Plix Life,"Fitness, Health Care, Nutrition, Personal Health",0,1,Asia-Pacific (APAC),2018,2018,"Akash Zaveri, Rishubh Satiya",2,0,0,"₹380,000,000",1,0,0,5,0,15.62,0,15.62,—,India,0,1,0,2.83,6.32,4.73,5.73,4.53,5.22,5.25,5.75,6.45,5.23,6.52,5.53,"['Akash Zaveri', 'Rishubh Satiya']",0
Ojjo,"Field Support, Mechanical Engineering, Solar, Training",0,1,"San Francisco Bay Area, West Coast, Western US",2018,2018,"Jack West, Mike Miskovsky",3,78,6,67000000,2,0,0,41,0,1,0,1,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Jack West', 'Mike Miskovsky']",1
Invetx,"Biopharma, Biotechnology, Veterinary",0,1,"Greater Boston Area, East Coast, New England",2018,2018,Juergen Horn,9,19,5,85750000,3,0,0,22,0,1.99,0,1.99,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,['Juergen Horn'],0
Quicklizard,"Analytics, Artificial Intelligence (AI), E-Commerce, Information Technology, Machine Learning",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Pini Mandel, Yariv Peer, Yossi Cohen",2,0,0,21100000,5,0,0,13,0,12.96,0,12.96,—,Israel,0,0,1,5.27,3.72,2.75,4,2.85,4.65,4.42,5.73,4.7,3.72,6.75,6.88,"['Pini Mandel', 'Yariv Peer', 'Yossi Cohen']",0
Kinnate Biopharma,"Biopharma, Biotechnology, Health Care, Medical, Oncology, Therapeutics",0,1,"Greater San Diego Area, West Coast, Western US",2018,2018,"Eric A Murphy, Stephen Kaldor",14,36,3,194500000,3,0,0,53,0,3.05,0,3.05,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Eric A Murphy', 'Stephen Kaldor']",0
Oxio,"Internet, Software, Telecommunications",0,1,—,2018,2018,"Francis Careau, Marc-André Campagna",12,0,0,"CA$25,000,000",3,0,0,16,0,3.46,0,3.46,—,Canada,0,0,0,5.32,4.92,4.35,4.92,4.12,4.75,4.77,6.07,4.27,4.55,6.68,5.53,"['Francis Careau', 'Marc-André Campagna']",0
GRIID,"Bitcoin, Blockchain, Mining",0,1,"Great Lakes, Midwestern US",2018,2018,Trey Kelly,3,0,2,525000000,2,0,1,54,0,1,0,1,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,['Trey Kelly'],0
RepairSmith,"Automotive, Home Services, Information Technology, Software",0,1,"Greater Los Angeles Area, West Coast, Western US",2018,2018,Joel Milne,4,0,0,42000000,1,0,0,37,0,1.24,0,1.24,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,['Joel Milne'],0
Run:AI,"Artificial Intelligence (AI), Business Intelligence, Software",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Omri Geller, Ronen Dar, Rungtiva Sanprapa",4,1,0,118000000,4,0,1,75,0,4.52,0,4.52,—,Israel,0,0,1,5.27,3.72,2.75,4,2.85,4.65,4.42,5.73,4.7,3.72,6.75,6.88,"['Omri Geller', 'Ronen Dar', 'Rungtiva Sanprapa']",0
Databand,"Data Integration, Data Visualization, DevOps, Information Technology, Machine Learning, Software",0,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Evgeny Shulman, Joshua Benamram, Victor Shafran",7,0,0,14500000,3,0,1,10,0,18.05,0,18.05,—,Israel,0,0,1,5.27,3.72,2.75,4,2.85,4.65,4.42,5.73,4.7,3.72,6.75,6.88,"['Evgeny Shulman', 'Joshua Benamram', 'Victor Shafran']",0
Trillionloans,"Credit, Finance, Financial Services, Lending",0,0,Asia-Pacific (APAC),2018,2018,—,2,0,0,9000000,2,0,0,7,0,—,0,—,—,India,0,1,0,2.83,6.32,4.73,5.73,4.53,5.22,5.25,5.75,6.45,5.23,6.52,5.53,[],0
Streamlit,"Analytics, Artificial Intelligence (AI), Big Data, Developer Tools, Machine Learning, Software",0,1,"San Francisco Bay Area, West Coast, Western US",2018,2018,"Adrien Treuille, Amanda Kelly, Nodira Khoussainova, Thiago Teixeira",9,0,1,62000000,4,0,0,43,1,3.48,1,3.48,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Adrien Treuille', 'Amanda Kelly', 'Nodira Khoussainova', 'Thiago Teixeira']",0
Habu,"Analytics, Digital Marketing, Enterprise Software, Marketing Automation",0,1,"San Francisco Bay Area, West Coast, Western US",2018,2018,"Matt Kilmartin, Michael Moreau, Tom Chavez, Vivek Vaidya",7,0,2,40000000,4,0,0,15,1,—,1,—,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Matt Kilmartin', 'Michael Moreau', 'Tom Chavez', 'Vivek Vaidya']",1
Valence Discovery,"Artificial Intelligence (AI), Machine Learning, Pharmaceutical, Therapeutics",0,1,—,2018,2018,"Daniel Cohen, Prudencio Tossou, Therence Bois",14,0,0,8527784,5,0,0,13,0,—,0,—,—,Canada,0,0,0,5.32,4.92,4.35,4.92,4.12,4.75,4.77,6.07,4.27,4.55,6.68,5.53,"['Daniel Cohen', 'Prudencio Tossou', 'Therence Bois']",0
Palette Life Sciences,"Health Care, Life Science, Therapeutics",0,1,"West Coast, Western US",2018,2018,"Arne Folke Brodin, Berith Karlsson Tingåker, Gunvor Ester Ekman-Ordeberg, Lars Irestedt",2,0,0,70000000,2,0,0,26,0,1,0,1,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Arne Folke Brodin', 'Berith Karlsson Tingåker', 'Gunvor Ester Ekman-Ordeberg', 'Lars Irestedt']",0
Tomahawk Robotics,"Military, Product Design, Robotics, Software",0,1,"East Coast, Southern US",2018,2018,"Brad Truesdell, Matt Summer",7,14,2,2400000,2,0,0,49,0,2.18,0,2.18,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Brad Truesdell', 'Matt Summer']",0
EMMAC Life Sciences,"Biotechnology, Cannabis, Market Research",0,1,"Europe, Middle East, and Africa (EMEA)",2018,2018,"Antonio Costanzo, Ed McDermott",2,1,3,25581296,3,0,0,10,0,1.49,0,1.49,—,United Kingdom,0,0,0,4.33,3.43,4.97,4.05,3,4.35,4.25,5.13,4.9,4.52,5.62,4.97,"['Antonio Costanzo', 'Ed McDermott']",0
Ruby Games,"Computer, Mobile Apps, Publishing, Video Games",0,0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,Mert Can KURUM,1,0,0,23500000,2,0,0,3,0,1.68,0,1.68,—,Turkey,0,0,1,5.35,4.48,3.58,4.18,2.95,5.08,4.52,5.47,6.13,4.18,6.02,4.98,['Mert Can KURUM'],0
Istegelsin,"Dietary Supplements, E-Commerce, Food and Beverage, Grocery, Office Supplies",1,1,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Sedat Yildirim, Yahya Ülker",2,0,1,30000000,3,0,0,0,0,1.37,0,1.37,—,Turkey,0,0,1,5.35,4.48,3.58,4.18,2.95,5.08,4.52,5.47,6.13,4.18,6.02,4.98,"['Sedat Yildirim', 'Yahya Ülker']",0
The Giving Block,—,0,0,"Great Lakes, Northeastern US",2018,2018,"Alex Wilson, Pat Duffy",2,0,0,1500000,1,0,0,49,0,2.16,0,2.16,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Alex Wilson', 'Pat Duffy']",0
Lotus Midstream,"Energy, Energy Efficiency, Logistics, Oil and Gas",0,0,"Greater Houston Area, Southern US",2018,2018,"Emily Baker, Jen Fontenot, Mike Prince",1,0,0,400000000,1,0,0,15,1,—,1,—,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Emily Baker', 'Jen Fontenot', 'Mike Prince']",0
Aknamed,"Analytics, Health Care, Hospital, Supply Chain Management",0,1,Asia-Pacific (APAC),2018,2018,"Mahadevan Narayanamoni, Mayank Kapoor, Saurabh Pandey, Varun Vohra",1,0,0,15667412,2,0,0,6,0,4.03,0,4.03,—,India,0,1,0,2.83,6.32,4.73,5.73,4.53,5.22,5.25,5.75,6.45,5.23,6.52,5.53,"['Mahadevan Narayanamoni', 'Mayank Kapoor', 'Saurabh Pandey', 'Varun Vohra']",0
Rollic Games,"Android, iOS, Mobile Apps, Online Games, Video Games",0,0,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",2018,2018,"Burak Vardal, Deniz Başaran, Mehmet Can Yavuz",2,0,5,99000,1,0,0,7,0,2.15,0,2.15,—,Turkey,0,0,1,5.35,4.48,3.58,4.18,2.95,5.08,4.52,5.47,6.13,4.18,6.02,4.98,"['Burak Vardal', 'Deniz Başaran', 'Mehmet Can Yavuz']",0
Atomic Alchemy,"Biotechnology, Medical, Pharmaceutical",0,1,Western US,2018,2018,Thomas Eiden,3,0,1,150000,2,0,0,20,0,1.39,0,1.39,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,['Thomas Eiden'],0
Bit Discovery,"Information and Communications Technology (ICT), Information Technology, Internet, Software, Web Development",0,1,"San Francisco Bay Area, Silicon Valley, West Coast",2018,2018,"Jeremiah Grossman, Robert Hansen",2,6,0,4000000,2,0,0,9,0,1,0,1,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Jeremiah Grossman', 'Robert Hansen']",0
Zephr,"Advertising, Content Delivery Network, Digital Media, Publishing, SaaS",1,1,"Europe, Middle East, and Africa (EMEA)",2018,2018,James Henderson,4,0,1,11145675,3,0,1,12,0,3.63,0,3.63,—,United Kingdom,0,0,0,4.33,3.43,4.97,4.05,3,4.35,4.25,5.13,4.9,4.52,5.62,4.97,['James Henderson'],0
Laka,"Cosmetics, E-Commerce, Retail",0,1,Asia-Pacific (APAC),2018,2018,—,1,0,4,"₩1,500,000,000",1,0,0,0,0,—,0,—,—,South Korea,0,1,0,5,6.15,4.47,5.22,3.45,4.37,4.05,4.32,7.15,3.78,6.63,5.12,[],0
Hince,"Cosmetics, E-Commerce, Health Care, Retail",0,1,Asia-Pacific (APAC),2018,2018,—,6,0,10,"₩15,000,000,000",3,0,0,1,0,4.39,0,4.39,—,South Korea,0,1,0,5,6.15,4.47,5.22,3.45,4.37,4.05,4.32,7.15,3.78,6.63,5.12,[],0
Volumetric,"3D Printing, Advanced Materials, Biotechnology",0,0,"Greater Houston Area, Southern US",2018,2018,"Bagrat Grigoryan, Jordan Miller",17,3,2,1830000,3,0,0,5,0,—,0,—,—,United States,1,0,0,4.97,4.22,4.73,4.45,4.33,5.48,4.42,5.88,5.48,4.88,6.98,7.17,"['Bagrat Grigoryan', 'Jordan Miller']",0
Grip,"Apps, Information Technology, Software",0,1,Asia-Pacific (APAC),2018,2018,—,5,2,0,"₩11,500,000,000",3,0,0,2,0,1,0,1,—,South Korea,0,1,0,5,6.15,4.47,5.22,3.45,4.37,4.05,4.32,7.15,3.78,6.63,5.12,[],0
